model,accuracy,f1_macro,precision_macro,recall_macro,exp,window_size,blink_ear_thresh,yawn_mar_thresh,min_frames
RF,0.5721107927411653,0.5627740492170022,0.5739241610105581,0.5687205608500383,ws90_be0.20_ym0.60_mf15,90,0.2,0.6,15
LinearSVM,0.5978987583572111,0.5901459171917844,0.6119075130593871,0.6018457662394567,ws90_be0.20_ym0.65_mf15,90,0.2,0.65,15
HGB,0.5931232091690545,0.5864499499313875,0.5951372742250897,0.5902398948406178,ws90_be0.20_ym0.65_mf15,90,0.2,0.65,15
LogReg,0.5883476599808978,0.5814924697635898,0.5999124044772807,0.5920418446708293,ws90_be0.20_ym0.65_mf15,90,0.2,0.65,15
RF,0.5682903533906399,0.5591201108991175,0.5697130270511785,0.5649468726037901,ws90_be0.20_ym0.65_mf15,90,0.2,0.65,15
LinearSVM,0.5807067812798472,0.5719203247807367,0.5938925278990781,0.5847902289407383,ws90_be0.21_ym0.55_mf15,90,0.21,0.55,15
LogReg,0.5778414517669532,0.5686297539149888,0.5911642918036779,0.5819969328513528,ws90_be0.21_ym0.55_mf15,90,0.21,0.55,15
HGB,0.5711556829035339,0.5667145634038819,0.5710971163407358,0.5689232117427977,ws90_be0.21_ym0.55_mf15,90,0.21,0.55,15
RF,0.5635148042024832,0.554858948751178,0.5643752729087393,0.560291379121481,ws90_be0.21_ym0.55_mf15,90,0.21,0.55,15
LinearSVM,0.5807067812798472,0.5719203247807367,0.5938925278990781,0.5847902289407383,ws90_be0.21_ym0.60_mf15,90,0.21,0.6,15
LogReg,0.5797516714422158,0.5708248867159551,0.5929847930297337,0.5838591302442765,ws90_be0.21_ym0.60_mf15,90,0.21,0.6,15
HGB,0.5644699140401146,0.5596978036166178,0.5642561110020685,0.5621590535655603,ws90_be0.21_ym0.60_mf15,90,0.21,0.6,15
RF,0.5663801337153773,0.557416704531065,0.5675695758959999,0.5630846752108665,ws90_be0.21_ym0.60_mf15,90,0.21,0.6,15
LinearSVM,0.5807067812798472,0.5719203247807367,0.5938925278990781,0.5847902289407383,ws90_be0.21_ym0.65_mf15,90,0.21,0.65,15
LogReg,0.5797516714422158,0.5708248867159551,0.5929847930297337,0.5838591302442765,ws90_be0.21_ym0.65_mf15,90,0.21,0.65,15
HGB,0.5644699140401146,0.5596978036166178,0.5642561110020685,0.5621590535655603,ws90_be0.21_ym0.65_mf15,90,0.21,0.65,15
RF,0.5616045845272206,0.5533894957924622,0.562186456472781,0.5584784751889582,ws90_be0.21_ym0.65_mf15,90,0.21,0.65,15
HGB,0.5883476599808978,0.5810697525448747,0.590393808595563,0.5853379340563041,ws90_be0.22_ym0.55_mf15,90,0.22,0.55,15
LogReg,0.5854823304680038,0.5800574466197432,0.5948201921277525,0.5888049074378354,ws90_be0.22_ym0.55_mf15,90,0.22,0.55,15
LinearSVM,0.5826170009551098,0.5772472130723423,0.5916381056239289,0.5859130244276481,ws90_be0.22_ym0.55_mf15,90,0.22,0.55,15
RF,0.5730659025787965,0.5645994531548721,0.5745801104110786,0.5698488333881038,ws90_be0.22_ym0.55_mf15,90,0.22,0.55,15
LogReg,0.5854823304680038,0.5800574466197432,0.5948201921277525,0.5888049074378354,ws90_be0.22_ym0.60_mf15,90,0.22,0.6,15
HGB,0.5864374403056352,0.5799618088981005,0.5879222972972973,0.5836236170445832,ws90_be0.22_ym0.60_mf15,90,0.22,0.6,15
LinearSVM,0.5845272206303725,0.5791820084358557,0.5936769746066366,0.5878245152809727,ws90_be0.22_ym0.60_mf15,90,0.22,0.6,15
RF,0.5673352435530086,0.5589931127978108,0.5683696337278521,0.5641636542885311,ws90_be0.22_ym0.60_mf15,90,0.22,0.6,15
LogReg,0.5854823304680038,0.5800574466197432,0.5948201921277525,0.5888049074378354,ws90_be0.22_ym0.65_mf15,90,0.22,0.65,15
HGB,0.5864374403056352,0.5799618088981005,0.5879222972972973,0.5836236170445832,ws90_be0.22_ym0.65_mf15,90,0.22,0.65,15
LinearSVM,0.5845272206303725,0.5791820084358557,0.5936769746066366,0.5878245152809727,ws90_be0.22_ym0.65_mf15,90,0.22,0.65,15
RF,0.5702005730659025,0.5615577889447236,0.5715665612925886,0.5669569503779166,ws90_be0.22_ym0.65_mf15,90,0.22,0.65,15
